d,o,h,l,c,v,a,mc,s,m,rs
2024-01-02,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-03,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-04,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-05,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-08,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-09,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-10,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-11,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-12,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-15,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-16,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-17,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-18,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-19,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-22,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-23,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-24,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-25,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-26,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-29,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-30,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-01-31,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-01,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-02,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-05,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-06,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-07,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-08,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-13,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-14,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-15,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-16,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-19,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-20,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-21,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-22,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-23,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
2024-02-26,0.0,0.0,0.0,6140.0,0.0,0.0,120570191460.0,19636839,KOSDAQ,non_tradable_zero_volume
